Título,Resumen,Calificación,Cook Time,Servings,Ingredientes
Easy Lasagna Recipe,An easy lasagna recipe that saves me lots of time. This dish satisfies everyone in the family. Try it tonight!,4.6,1 hr 10 mins,12,"[{'cantidad': '1', 'unidad': 'pound', 'nombre': 'lean ground beef'}, {'cantidad': '1', 'unidad': '(32 ounce) jar', 'nombre': 'spaghetti sauce'}, {'cantidad': '32', 'unidad': 'ounces', 'nombre': 'cottage cheese'}, {'cantidad': '3', 'unidad': 'cups', 'nombre': 'shredded mozzarella cheese, divided'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'grated Parmesan cheese'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'dried parsley'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt to taste'}, {'cantidad': '', 'unidad': '', 'nombre': 'ground black pepper to taste'}, {'cantidad': '9', 'unidad': '', 'nombre': 'lasagna noodles'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'water'}]"
Mexican Chicken Tinga Recipe,"Mexican chicken tinga, or tinga de pollo, is a shredded chicken dish with tender sliced onions cooked in a spicy tomato and chipotle chili sauce. Delicious served on crunchy tostada shells topped with sour cream. This recipe is easy to make and great for feeding a crowd!",4.6,30 mins,8,"[{'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'olive oil'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'onion, diced'}, {'cantidad': '1', 'unidad': '(15 ounce) can', 'nombre': 'stewed tomatoes'}, {'cantidad': '1', 'unidad': '(7 ounce) can', 'nombre': 'chipotle peppers in adobo sauce, or to taste'}, {'cantidad': '2', 'unidad': 'pounds', 'nombre': 'shredded cooked chicken meat'}, {'cantidad': '16', 'unidad': '', 'nombre': 'tostada shells'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'sour cream'}]"
Chicken Tortilla Soup Recipe,"This comforting chicken tortilla soup with shredded chicken, black beans, and corn is quick to make, full of flavor, and very filling! Garnish with chopped fresh avocado, Monterey Jack cheese, crushed tortilla chips, and green onion.",4.7,25 mins,8,"[{'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'olive oil'}, {'cantidad': '1', 'unidad': 'medium', 'nombre': 'onion, chopped'}, {'cantidad': '3', 'unidad': 'cloves', 'nombre': 'garlic, minced'}, {'cantidad': '1', 'unidad': '(28 ounce) can', 'nombre': 'crushed tomatoes'}, {'cantidad': '1', 'unidad': '(10.5 ounce) can', 'nombre': 'condensed chicken broth'}, {'cantidad': '1 ¼', 'unidad': 'cups', 'nombre': 'water'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'chili powder'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'dried oregano'}, {'cantidad': '1', 'unidad': '(15 ounce) can', 'nombre': 'black beans, rinsed and drained'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'boneless chicken breast halves, cooked and cut into bite-sized pieces'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'whole corn kernels, cooked'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'white hominy'}, {'cantidad': '1', 'unidad': '(4 ounce) can', 'nombre': 'chopped green chile peppers'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'chopped fresh cilantro'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'crushed tortilla chips, or to taste'}, {'cantidad': '2', 'unidad': 'medium', 'nombre': 'avocados, sliced, or to taste'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'shredded Monterey Jack cheese, or to taste'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'chopped green onions, or to taste'}]"
Banana Zucchini Bread Recipe,This banana zucchini bread combines two of my favorites: banana walnut bread and zucchini bread. I like to add walnuts and dried cranberries for an extra boost of flavor in every bite.,4.7,45 mins,20,"[{'cantidad': '3', 'unidad': 'large', 'nombre': 'eggs'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'white sugar'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'grated zucchini'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'vegetable oil'}, {'cantidad': '2', 'unidad': '', 'nombre': 'ripe bananas, mashed'}, {'cantidad': '⅔', 'unidad': 'cup', 'nombre': 'packed brown sugar'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'vanilla extract'}, {'cantidad': '3 ½', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'ground cinnamon'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'baking powder'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'dried cranberries (Optional)'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped walnuts (Optional)'}]"
Meatloaf Recipe,"Meatloaf is an American institution. In addition to being easy to prepare, EVERYBODY loves it.",3.9,1 hr,9,"[{'cantidad': '2', 'unidad': 'pounds', 'nombre': 'lean ground beef'}, {'cantidad': '1', 'unidad': '(10.75 ounce) can', 'nombre': 'condensed tomato soup'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, finely diced'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'rolled oats'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs, beaten'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'steak sauce'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'ketchup'}, {'cantidad': '3', 'unidad': 'tablespoons', 'nombre': 'prepared mustard'}]"
Best Ever Meatloaf Recipe,This meatloaf recipe with oatmeal and tomato sauce is a quick-and-easy meal!,4.2,1 hr,8,"[{'cantidad': '1 ½', 'unidad': 'pounds', 'nombre': 'lean ground beef'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'tomato juice'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'rolled oats'}, {'cantidad': '1', 'unidad': '', 'nombre': 'egg'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'chopped onion'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}]"
Meatloaf with Fried Onions and Ranch Seasoning Recipe,This meatloaf recipe with French-fried onions and ranch seasoning is one I created once I discovered the versatility of meatloaf!,4.5,50 mins,6,"[{'cantidad': '1 ½', 'unidad': 'pounds', 'nombre': 'ground beef'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs, beaten'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'ketchup'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'herb-seasoned dry bread stuffing mix'}, {'cantidad': '½', 'unidad': '(1 ounce) package', 'nombre': 'dry Ranch-style dressing mix'}, {'cantidad': '1', 'unidad': '(6 ounce) can', 'nombre': 'French-fried onions'}]"
The Best Chicken Fried Steak Recipe,"This chicken fried steak recipe is one I received from a co-worker about 5 years ago. A Southern favorite, these crispy, breaded, tenderized cube steaks drenched in creamy gravy can be served for breakfast or dinner. It's by far the best chicken fried steak I've ever had. I've made this numerous times for my picky son and my Southern-raised better half, as well as for other family and friends and each time, I get nothing but rave reviews.",4.5,20 mins,4,"[{'cantidad': '4', 'unidad': '(½ pound)', 'nombre': 'beef cube steaks'}, {'cantidad': '2 ¼', 'unidad': 'cups', 'nombre': 'all-purpose flour, divided'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'baking powder'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'black pepper'}, {'cantidad': '¾', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'buttermilk'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'hot pepper sauce (e.g. Tabasco™)'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg'}, {'cantidad': '2', 'unidad': 'cloves', 'nombre': 'garlic, minced'}, {'cantidad': '3', 'unidad': 'cups', 'nombre': 'vegetable shortening for frying'}, {'cantidad': '4', 'unidad': 'cups', 'nombre': 'milk'}, {'cantidad': '', 'unidad': '', 'nombre': 'kosher salt and ground black pepper to taste'}]"
Grandma's Best Ever Sour Cream Lasagna Recipe,"This is my grandma's best lasagna recipe, except I use sour cream instead of ricotta (a trick I picked up from my mother-in-law). She always made it for birthdays and special occasions. This makes a large amount, so I halve it when making it for my boyfriend and myself. It's very cheesy, so sometimes I add a little extra tomato sauce.",4.8,1 hr 10 mins,8,"[{'cantidad': '½', 'unidad': 'pound', 'nombre': 'ground pork sausage'}, {'cantidad': '½', 'unidad': 'pound', 'nombre': 'ground beef'}, {'cantidad': '1', 'unidad': 'clove', 'nombre': 'garlic, minced'}, {'cantidad': '1', 'unidad': '(28 ounce) can', 'nombre': 'diced tomatoes'}, {'cantidad': '1', 'unidad': '(8 ounce) can', 'nombre': 'tomato sauce'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'dried parsley'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'dried basil'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'dried oregano'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': 'white sugar'}, {'cantidad': '1', 'unidad': '(8 ounce) package', 'nombre': 'lasagna noodles'}, {'cantidad': '1', 'unidad': '(16 ounce) container', 'nombre': 'sour cream'}, {'cantidad': '2', 'unidad': '(12 ounce) packages', 'nombre': 'shredded mozzarella cheese, divided'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'grated Parmesan cheese'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped pitted green olives'}, {'cantidad': '3', 'unidad': 'large', 'nombre': 'eggs, lightly beaten'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'salt'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}]"
Best Ever Banana Bread Recipe,This is my best ever banana bread recipe. It really is the best I have ever tasted! It's very moist and it freezes well. I also bake this in 3 small loaf pans however you may need to shorten the baking time.,4.8,1 hr 20 mins,12,"[{'cantidad': '2', 'unidad': 'large', 'nombre': 'eggs, beaten'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'mashed bananas'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'vegetable oil'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'buttermilk'}, {'cantidad': '1 ¾', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'white sugar'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped pecans (Optional)'}]"
My Favorite Pork Turkey Meatloaf Recipe,This soft-textured meatloaf is speckled with vegetables. My kids and I love the flavor of this dish. There's always enough for sandwiches the next day and crumbled into spaghetti sauce the day after that.,4.7,1 hr 10 mins,8,"[{'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground turkey'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground pork'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'cooking oil'}, {'cantidad': '1', 'unidad': '', 'nombre': 'carrot, minced'}, {'cantidad': '½', 'unidad': '', 'nombre': 'red bell pepper, minced'}, {'cantidad': '½', 'unidad': '', 'nombre': 'onion, minced'}, {'cantidad': '2', 'unidad': 'cloves', 'nombre': 'garlic, minced'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'thawed frozen chopped spinach'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'bread crumbs'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'wheat germ (Optional)'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs, room temperature'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'ketchup'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'honey'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'ketchup'}]"
Easy Meatloaf Recipe (with Video),"This meatloaf recipe doesn't take long to make at all, and it's very good!",4.7,1 hr,8,"[{'cantidad': '1 ½', 'unidad': 'pounds', 'nombre': 'ground beef'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, chopped'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'milk'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'dried bread crumbs'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and pepper to taste'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'ketchup'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'brown sugar'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'prepared mustard'}]"
Chicken Fried Chicken Recipe,"A fun chicken recipe the kids can help prepare. They love crushing the crackers. It does not matter if the measurements aren't perfect, just wing it!",4.7,20 mins,6,"[{'cantidad': '30', 'unidad': '', 'nombre': 'saltine crackers'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'all-purpose flour'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'dry potato flakes'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'seasoned salt'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '1', 'unidad': '', 'nombre': 'egg'}, {'cantidad': '6', 'unidad': '', 'nombre': 'skinless, boneless chicken breast halves'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'vegetable oil for frying'}]"
Ellen's Buffalo Meatloaf Recipe,"Lean ground buffalo makes this meatloaf a lower fat and calorie option than the typical ground beef version. This recipe is just as juicy and satisfying. The rich, savory seasoning blend keeps it moist and flavorful. No one will guess it’s not beef.",4.8,1 hr 30 mins,4,"[{'cantidad': '1', 'unidad': 'slice', 'nombre': 'multigrain bread'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground buffalo meat'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, diced'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'canned diced tomatoes, drained'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg, lightly beaten'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'mustard powder'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': 'ground black pepper'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'ketchup'}]"
The Best Banana Bread Recipe,This is the best banana bread recipe I have found. It is the most successful and versatile quick bread! You can also customize and use chunky applesauce or a 15-ounce can of pumpkin for wonderful variations.,4.6,1 hr,15,"[{'cantidad': '1', 'unidad': 'cup', 'nombre': 'white sugar'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'margarine, softened'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs'}, {'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'mashed banana'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}]"
Janet's Rich Banana Bread Recipe,This moist banana bread is the best I've ever tasted. It's also very easy to make!,4.8,1 hr,10,"[{'cantidad': '1', 'unidad': 'cup', 'nombre': 'white sugar'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'butter, melted'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'vanilla extract'}, {'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'sour cream'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped walnuts'}, {'cantidad': '2', 'unidad': '', 'nombre': 'medium bananas, sliced'}]"
No-Noodle Zucchini Lasagna Recipe,"Make this zucchini lasagna recipe for a delicious low-carb dinner that'll satisfy your Italian food craving. It's perfect in the summer with garden-fresh veggies and herbs, or in the winter when you need a comforting meal. You won't even miss the noodles in this one!",4.7,1 hr,8,"[{'cantidad': '2', 'unidad': 'large', 'nombre': 'zucchini'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground beef'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'ground black pepper'}, {'cantidad': '1', 'unidad': 'small', 'nombre': 'green bell pepper, diced'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, diced'}, {'cantidad': '1', 'unidad': '(16 ounce) can', 'nombre': 'tomato sauce'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'tomato paste'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'red wine'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'chopped fresh basil'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'chopped fresh oregano'}, {'cantidad': '3', 'unidad': 'tablespoons', 'nombre': 'hot water, or as needed'}, {'cantidad': '1', 'unidad': '(15 ounce) container', 'nombre': 'low-fat ricotta cheese'}, {'cantidad': '1', 'unidad': '', 'nombre': 'egg'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'chopped fresh parsley'}, {'cantidad': '1', 'unidad': '(16 ounce) package', 'nombre': 'frozen chopped spinach, thawed and drained'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'fresh mushrooms, sliced'}, {'cantidad': '8', 'unidad': 'ounces', 'nombre': 'shredded mozzarella cheese'}, {'cantidad': '8', 'unidad': 'ounces', 'nombre': 'grated Parmesan cheese'}]"
Baked Chicken Wings Recipe,"These easy chicken wings are coated with a blend of spices, garlic, and olive oil and baked in the oven until crisp, flavorsome, and delicious. No one will be able to resist!",4.7,30 mins,2,"[{'cantidad': '3', 'unidad': 'tablespoons', 'nombre': 'olive oil'}, {'cantidad': '3', 'unidad': 'cloves', 'nombre': 'garlic, pressed'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'chili powder'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'garlic powder'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and ground black pepper to taste'}, {'cantidad': '10', 'unidad': '', 'nombre': 'chicken wings'}]"
Best-Ever Meatloaf Recipe,"This meatloaf recipe is the best ever. Condensed tomato soup is baked into the meatloaf for flavor, and also makes a tasty pan sauce to serve on the side.",4.4,1 hr 20 mins,8,"[{'cantidad': '2', 'unidad': 'pounds', 'nombre': 'ground beef'}, {'cantidad': '1', 'unidad': '(10.75 ounce) can', 'nombre': ""Campbell's Condensed Tomato Soup (Regular, Healthy Request or 25% Less Sodium), divided""}, {'cantidad': '1', 'unidad': 'envelope', 'nombre': 'dry onion soup and dip mix'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'dry bread crumbs'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg, beaten'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'water'}]"
Homemade Lasagna Recipe,"This is my mom's special homemade lasagna recipe with a meaty, made-from-scratch tomato sauce and a deliciously cheesy filling. A more traditional homemade lasagna filling would be made with ricotta but my mom's recipe calls for a blend of small-curd cottage cheese and Parmesan. I have found none better anywhere. Serve with a leafy green salad and crusty garlic bread.",4.6,1 hr 15 mins,8,"[{'cantidad': '½', 'unidad': 'pound', 'nombre': 'ground pork'}, {'cantidad': '½', 'unidad': 'pound', 'nombre': 'lean ground beef'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'minced onion'}, {'cantidad': '1', 'unidad': '(28 ounce) can', 'nombre': 'crushed tomatoes'}, {'cantidad': '1', 'unidad': '(8 ounce) can', 'nombre': 'tomato sauce'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'chopped fresh parsley, divided'}, {'cantidad': '1', 'unidad': 'clove', 'nombre': 'garlic, crushed'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'dried basil'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'dried oregano'}, {'cantidad': '⅛', 'unidad': 'teaspoon', 'nombre': 'white sugar'}, {'cantidad': '1', 'unidad': '(16 ounce) package', 'nombre': 'lasagna noodles'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'small-curd cottage cheese'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'grated Parmesan cheese'}, {'cantidad': '3', 'unidad': 'large', 'nombre': 'eggs'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'salt'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '1', 'unidad': '(16 ounce) package', 'nombre': 'shredded mozzarella cheese'}]"
Banana Banana Bread Recipe (with Video),"This banana bread recipe creates the most delicious, moist loaf with loads of banana flavor. Why compromise the banana flavor? Friends and family love my recipe and say it's by far the best! It tastes wonderful toasted. Enjoy!",4.7,1 hr,12,"[{'cantidad': '2', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'brown sugar'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'butter'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'eggs, beaten'}, {'cantidad': '2 ⅓', 'unidad': 'cups', 'nombre': 'mashed overripe bananas'}]"
